,strategy,gov_policy,quarantine_length,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
121,S4,no_TTI,6,1.0359096691913479,3.925856697819315,0.0,0.0,0.0,613.1759999999999,75.612,38.052,17.60837977137464,-1.7319479184152442e-17
122,S4,no_TTI,8,1.1064707346928413,3.727217863608932,0.0,0.0,0.0,655.32,74.11200000000001,35.136,16.974935911367545,-5.861977570020827e-17
123,S4,no_TTI,8,1.0761943593797536,3.7478510028653296,0.0,0.0,0.0,670.5600000000001,78.48,40.775999999999996,15.168490114587959,-3.3306690738754695e-17
124,S4,no_TTI,10,1.1997207667646805,3.8813857897827364,0.0,0.0,0.0,728.088,79.32000000000001,37.343999999999994,17.45850641039699,4.796163466380676e-17
125,S4,no_TTI,10,1.1004954258362647,3.9371104815864024,0.0,0.0,0.0,720.504,83.38799999999999,42.768,17.311506880787906,-4.5297099404706384e-17
126,S4,no_TTI,12,1.1015511083966207,3.984232868405094,0.0,0.0,0.0,755.568,78.84,41.076,15.966506667047675,-1.7319479184152442e-17
127,S4,no_TTI,12,1.1513441613541635,3.6573301549463646,0.0,0.0,0.0,772.0079999999999,73.644,33.972,16.48853396697256,-5.595524044110789e-17
128,S4,no_TTI,14,1.1712383381267102,3.9140670982931134,0.0,0.0,0.0,834.072,79.80000000000001,38.52,17.40079276227263,2.7977620220553945e-17
129,S4,no_TTI,14,1.271242510480238,3.9285285285285285,0.0,0.0,0.0,845.304,78.492,37.596000000000004,15.496574640604832,1.0658141036401503e-17
130,S4,symptom_based_TTI,6,0.9885446254651482,3.952059004302397,975.132,134.1,89.84400000000001,2605.632,77.16,35.508,17.63682932748332,4.714825404935141
131,S4,symptom_based_TTI,6,0.9171387880049159,3.731547619047619,952.8480000000001,128.952,89.616,2478.792,75.22800000000001,37.176,15.610422509877358,3.952059523943547
132,S4,symptom_based_TTI,8,0.9144144269146868,3.6986998304126626,947.1719999999999,126.85199999999999,89.28,2784.8160000000003,78.516,36.624,17.802137774448177,4.678672771006866
133,S4,symptom_based_TTI,8,0.8819883174411549,3.7493917274939172,914.9159999999999,118.476,89.77199999999999,2636.328,73.96799999999999,37.211999999999996,15.563836954061603,3.7922975194593027
134,S4,symptom_based_TTI,10,0.9368661936346765,3.7488290398126463,938.2919999999999,126.072,89.988,2902.68,76.836,36.552,16.739151753901368,4.342838741362305
135,S4,symptom_based_TTI,10,0.9584677344785182,4.044593769089799,936.816,123.672,90.252,2875.776,79.452,40.176,16.507893727768657,3.9399660961353367
136,S4,symptom_based_TTI,12,0.9448901832768528,3.871654501216545,961.104,124.89599999999999,89.84400000000001,3193.848,76.38,35.616,18.07128521573943,4.05192124857482
137,S4,symptom_based_TTI,12,0.9584677344785182,4.044593769089799,936.816,123.672,90.252,3082.536,79.452,40.176,16.507893727768657,3.9399660961353367
138,S4,symptom_based_TTI,14,0.8672130011409527,3.703016241299304,928.74,128.244,89.952,3212.04,76.60799999999999,39.767999999999994,15.074214067423679,3.824883364972308
139,S4,symptom_based_TTI,14,0.997896969451714,4.022491349480969,951.924,137.376,88.632,3439.056,83.7,40.584,18.38053681167863,3.9712230479701067
140,S4,test_based_TTI,6,0.9541139656190513,3.873222748815166,93.096,14.82,89.79599999999999,1078.4160000000002,78.456,39.635999999999996,16.525011510167563,2.9684560022529434
141,S4,test_based_TTI,6,0.9562166394590601,3.9100467289719627,110.50800000000001,13.152000000000001,90.492,1161.432,80.328,38.928000000000004,18.12669935409691,3.628786004856204
142,S4,test_based_TTI,8,0.9910308849676758,3.7380812242495587,90.984,14.82,89.892,1269.2160000000001,76.212,37.116,16.188786163764764,2.702076153514279
