,strategy,gov_policy,max_contacts,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
116,S2,symptom_based_TTI,18,1.5759077850266128,3.8125734430082256,1641.408,264.9,89.43599999999999,5368.343999999999,77.86800000000001,9.912,28.38533850101271,7.38432089760373
117,S2,symptom_based_TTI,18,1.6670584735084746,3.9940369707811567,1649.676,253.21200000000002,89.928,5411.784,80.37599999999999,10.956000000000001,28.056590312900337,7.8155249662151025
118,S2,symptom_based_TTI,20,1.7013201646255935,4.1048060220034746,1762.5359999999998,270.684,89.80799999999999,5689.6320000000005,85.068,10.704,30.99964330503623,8.106197603262947
119,S2,symptom_based_TTI,20,1.7474959007258806,4.061371841155235,1724.46,259.164,89.77199999999999,5790.432,81.0,8.508000000000001,29.536004601061308,8.103937154861699
120,S2,test_based_TTI,2,1.4034423736763897,3.992476489028213,125.46000000000001,18.54,89.12400000000001,2247.552,76.416,25.032,20.217884139155522,4.30422882867839
121,S2,test_based_TTI,2,1.3439927733254504,3.7718880285884455,141.35999999999999,17.832,89.34,2462.688,75.996,22.2,22.32431434333557,4.3929192597032385
122,S2,test_based_TTI,4,1.4326666736650087,3.7143719806763285,153.25199999999998,21.516,89.256,2574.7920000000004,73.812,18.144,22.541360614837245,4.656687246091691
123,S2,test_based_TTI,4,1.5500117434453304,4.007421150278293,148.18800000000002,23.832,89.85600000000001,2542.44,77.76,17.592000000000002,25.232158871444504,4.859413258742239
124,S2,test_based_TTI,6,1.5580620891530703,3.9227082085080887,160.26,25.296,89.52,2665.584,78.564,16.979999999999997,25.45840966163743,4.9207228168048465
125,S2,test_based_TTI,6,1.6092169813872914,3.8687921520539548,166.416,24.672,89.78399999999999,2760.0,75.72,14.844000000000001,23.99943248367603,5.380972756611867
126,S2,test_based_TTI,8,1.602604762626928,3.856294536817102,176.088,24.204,88.92,2834.496,77.928,15.191999999999998,24.652370187278517,5.698192769556479
127,S2,test_based_TTI,8,1.5724926296701025,3.8521584861028977,177.456,26.244,89.532,2878.1040000000003,78.16799999999999,13.44,27.27255150065499,5.5464280580792655
128,S2,test_based_TTI,10,1.636537153477288,3.983920841063698,170.388,22.752,90.048,2780.664,77.304,14.52,25.698552351134676,5.330080722792003
129,S2,test_based_TTI,10,1.5669298762463022,4.018289085545723,179.244,26.976,89.41199999999999,2908.2479999999996,81.732,17.316000000000003,26.79217750444749,5.752468812702712
130,S2,test_based_TTI,12,1.6835622779956925,3.794487717195926,174.024,28.812,89.676,2838.192,75.996,11.052,25.52082614942347,5.704788546878731
131,S2,test_based_TTI,12,1.7480667217472592,4.100830367734282,175.692,23.472,89.28,2822.592,82.968,13.751999999999999,28.490086248768183,5.359027836841234
132,S2,test_based_TTI,14,1.7384979913031782,3.9877450980392157,165.6,34.488,90.57600000000001,2761.344,78.096,12.816,25.821137216712213,5.412118121606303
133,S2,test_based_TTI,14,1.7592928396649499,4.013915243516761,163.87199999999999,25.355999999999998,90.16799999999999,2703.2160000000003,76.152,10.836,26.418280513264357,5.520415732612186
134,S2,test_based_TTI,16,1.6988333536713862,3.9382334774552192,184.092,31.128000000000004,90.6,2979.408,76.512,10.224,27.370651271469008,5.912414333403271
135,S2,test_based_TTI,16,1.7700454253872357,4.0091795754446355,216.792,40.272,90.024,3354.072,83.856,10.308,29.827255513449103,6.698474369151443
136,S2,test_based_TTI,18,1.7702078233104248,3.9072769953051645,180.63600000000002,27.192,89.41199999999999,2900.544,79.89599999999999,10.248000000000001,27.645564483649544,5.805225945298844
137,S2,test_based_TTI,18,1.638383691452057,4.06294964028777,184.476,33.36,89.568,2981.304,81.324,10.536,32.032740509344436,5.9613715225511585
138,S2,test_based_TTI,20,1.7083759816654192,4.061127596439169,180.528,30.131999999999998,89.22,2892.7200000000003,82.116,10.704,30.994052777815902,5.874584872909291
139,S2,test_based_TTI,20,1.7648545917816467,3.949822904368359,179.424,23.28,89.47200000000001,2883.0,80.292,10.764,27.681890231573092,5.970145626689572
140,S2,test_based_TTI_test_contacts,2,1.2822143700729172,3.8797289666854886,161.724,24.468,218.55599999999998,1106.328,82.452,25.439999999999998,24.56693717450331,5.195443032707086
141,S2,test_based_TTI_test_contacts,2,1.359407503844154,3.7677811550151974,123.60000000000001,18.012,187.02,1005.912,74.376,23.688,20.049060832173474,3.804235041942933
142,S2,test_based_TTI_test_contacts,4,1.4415893334401524,3.7992788461538463,156.408,27.276,214.92,1080.768,75.864,18.996,23.17077364664412,4.911570543222902
143,S2,test_based_TTI_test_contacts,4,1.3964208052884284,3.8773923444976077,138.56400000000002,23.448,200.34,1044.288,77.79599999999999,20.148,24.91440881735965,4.71580414533329
144,S2,test_based_TTI_test_contacts,6,1.639898957773928,3.9441340782122905,168.732,30.588,223.752,1086.144,76.24799999999999,14.411999999999999,24.789207013349287,5.34426633496512
145,S2,test_based_TTI_test_contacts,6,1.5371589474286567,3.7539332913782255,135.576,21.204,197.424,1031.4479999999999,71.58,14.472,23.85670176126031,3.940751429170057
146,S2,test_based_TTI_test_contacts,8,1.573395065503947,3.92018779342723,166.33200000000002,25.308,223.164,1119.9119999999998,80.16000000000001,15.864,26.999036945616133,5.124180754959139
147,S2,test_based_TTI_test_contacts,8,1.6348661501611252,3.9064615384615387,159.28799999999998,19.560000000000002,216.192,1090.776,76.176,14.316,25.133645775781087,4.846464296076938
148,S2,test_based_TTI_test_contacts,10,1.5729821153745027,3.9575971731448765,181.392,28.452,234.708,1161.312,80.64,14.856,27.4484621709175,6.2844542462116015
149,S2,test_based_TTI_test_contacts,10,1.64038524608038,3.97640306122449,166.12800000000001,26.424,222.37199999999999,1084.2720000000002,74.82000000000001,13.116,25.521945966153407,5.316565243598167
150,S2,test_based_TTI_test_contacts,12,1.7133932762803121,3.8890865954922895,172.82399999999998,28.548000000000002,228.56400000000002,1102.5600000000002,78.684,10.86,27.816097252603104,5.3425299816935965
151,S2,test_based_TTI_test_contacts,12,1.6941462722546299,4.062462098241358,180.588,30.263999999999996,233.892,1124.712,80.388,12.491999999999999,28.54839986342792,5.823833701197458
152,S2,test_based_TTI_test_contacts,14,1.614080343005353,3.8179640718562875,182.28,28.944,235.152,1149.336,76.512,11.315999999999999,27.450070644869985,5.399759281302714
153,S2,test_based_TTI_test_contacts,14,1.605876036379333,3.821242019733024,181.536,29.472,235.5,1137.648,79.008,13.284,26.703163676500548,5.817743395320301
154,S2,test_based_TTI_test_contacts,16,1.9124234567152005,4.152667075413857,175.044,28.439999999999998,229.62,1092.84,81.276,11.124,26.571151321886006,6.150896783284016
